Variables,Site,Season,Time,Zone,Param_sd
NN,BP,FALL,Day,Ambient,2.7978356714511388
NN,BP,FALL,Day,Diffuse,2.314501822036554
NN,BP,FALL,Day,Transition,2.537036985671803
NN,BP,FALL,Night,Ambient,1.0538521928830649
NN,BP,FALL,Night,Diffuse,4.921471645544119
NN,BP,FALL,Night,Transition,3.8926656105496087
NN,BP,SPRING,Day,Ambient,0.04096068575814836
NN,BP,SPRING,Day,Diffuse,2.271823894918752
NN,BP,SPRING,Day,Transition,13.117178261941689
NN,BP,SPRING,Night,Ambient,0.06689544080129826
NN,BP,SPRING,Night,Diffuse,3.0727702227965668
NN,BP,SPRING,Night,Transition,3.0677164869727522
pH,BP,FALL,Day,Ambient,0.04313145281835767
pH,BP,FALL,Day,Diffuse,0.0766913842687209
pH,BP,FALL,Day,Transition,0.11708515419699174
pH,BP,FALL,Night,Ambient,0.019586304893308606
pH,BP,FALL,Night,Diffuse,0.02941680690938749
pH,BP,FALL,Night,Transition,0.01003870726759476
pH,BP,SPRING,Day,Ambient,0.03134086788842939
pH,BP,SPRING,Day,Diffuse,0.09213535591467487
pH,BP,SPRING,Day,Transition,0.12812996873834334
pH,BP,SPRING,Night,Ambient,0.025489816574648598
pH,BP,SPRING,Night,Diffuse,0.052590582675554165
pH,BP,SPRING,Night,Transition,0.07590616785767199
Phosphate,BP,FALL,Day,Ambient,0.06876691711054735
Phosphate,BP,FALL,Day,Diffuse,0.09449449997918286
Phosphate,BP,FALL,Day,Transition,0.0803879482399086
Phosphate,BP,FALL,Night,Ambient,0.029888682361946528
Phosphate,BP,FALL,Night,Diffuse,0.12088598368972137
Phosphate,BP,FALL,Night,Transition,0.1293616807421906
Phosphate,BP,SPRING,Day,Ambient,0.040858835573770874
Phosphate,BP,SPRING,Day,Diffuse,0.05069047059876058
Phosphate,BP,SPRING,Day,Transition,0.30184617127124724
Phosphate,BP,SPRING,Night,Ambient,0.04055175020198813
Phosphate,BP,SPRING,Night,Diffuse,0.09349359674105467
Phosphate,BP,SPRING,Night,Transition,0.07862710869809611
Salinity,BP,FALL,Day,Ambient,0.4752815304285529
Salinity,BP,FALL,Day,Diffuse,0.6012571590019217
Salinity,BP,FALL,Day,Transition,0.6051656547284321
Salinity,BP,FALL,Night,Ambient,0.17202072435324903
Salinity,BP,FALL,Night,Diffuse,0.9297232673689523
Salinity,BP,FALL,Night,Transition,0.7312681054716482
Salinity,BP,SPRING,Day,Ambient,0.010107233049402874
Salinity,BP,SPRING,Day,Diffuse,0.44289128627513547
Salinity,BP,SPRING,Day,Transition,2.2151833044002283
Salinity,BP,SPRING,Night,Ambient,0.015935648990553823
Salinity,BP,SPRING,Night,Diffuse,0.5691187880129804
Salinity,BP,SPRING,Night,Transition,0.5966983484868784
Silicate,BP,FALL,Day,Ambient,11.392991802955983
Silicate,BP,FALL,Day,Diffuse,14.41275841051948
Silicate,BP,FALL,Day,Transition,14.506449140525971
Silicate,BP,FALL,Night,Ambient,4.123515355723668
Silicate,BP,FALL,Night,Diffuse,22.286432124548455
Silicate,BP,FALL,Night,Transition,17.529255831323816
Silicate,BP,SPRING,Day,Ambient,0.24228082879171428
Silicate,BP,SPRING,Day,Diffuse,10.6165640123616
Silicate,BP,SPRING,Day,Transition,53.10024402538613
Silicate,BP,SPRING,Night,Ambient,0.38199403718441005
Silicate,BP,SPRING,Night,Diffuse,13.642368321558124
Silicate,BP,SPRING,Night,Transition,14.303478986285509
TA,BP,FALL,Day,Ambient,13.479526753607141
TA,BP,FALL,Day,Diffuse,30.287092059597015
TA,BP,FALL,Day,Transition,32.41245284879153
TA,BP,FALL,Night,Ambient,16.701798303782112
TA,BP,FALL,Night,Diffuse,30.328676556212972
TA,BP,FALL,Night,Transition,20.25976718254932
TA,BP,SPRING,Day,Ambient,25.736254004554944
TA,BP,SPRING,Day,Diffuse,53.07967878012884
TA,BP,SPRING,Day,Transition,83.6793567717161
TA,BP,SPRING,Night,Ambient,88.73486964738183
TA,BP,SPRING,Night,Diffuse,39.45240969617979
TA,BP,SPRING,Night,Transition,34.780669668586484
