AbsPressure,datetime,minute,hour,AvDepth,AvTemp,AvSalinity
101.497,2021-01-15T09:55:40Z,55,9,-0.027,29.2,34.49583116
101.583,2021-01-15T09:55:30Z,55,9,-0.019,29.19,34.48609131
101.617,2021-01-15T09:54:40Z,54,9,-0.015,29.16,34.87083632
101.617,2021-01-15T09:55:10Z,55,9,-0.015,29.15,34.69571793
101.617,2021-01-15T09:55:50Z,55,9,-0.015,29.17,34.54809162
101.686,2021-01-15T09:54:30Z,54,9,-0.009,23.39,33.7173607
101.737,2021-01-15T09:54:50Z,54,9,-0.003,29.19,34.75244452
101.772,2021-01-15T09:55:00Z,55,9,0,29.14,34.75444554
102.219,2021-01-15T09:55:20Z,55,9,0.044,29.16,34.6200643
103.873,2021-01-15T11:20:30Z,20,11,0.209,28.98,33.83203078
103.909,2021-01-15T10:02:50Z,2,10,0.213,29.14,34.24532887
103.917,2021-01-15T10:24:30Z,24,10,0.213,28.99,33.72006925
103.927,2021-01-15T10:57:20Z,57,10,0.214,29.39,33.53070206
103.959,2021-01-15T11:12:50Z,12,11,0.218,29.09,33.75752731
103.994,2021-01-15T11:00:50Z,0,11,0.221,29.39,33.50150386
104.008,2021-01-15T10:38:30Z,38,10,0.222,29.33,33.09340743
104.023,2021-01-15T10:34:30Z,34,10,0.224,29.21,32.73808061
104.045,2021-01-15T11:04:00Z,4,11,0.226,29.3,33.5936094
104.045,2021-01-15T11:04:20Z,4,11,0.226,29.27,33.61786246
104.065,2021-01-15T10:58:10Z,58,10,0.228,29.38,33.54415421
104.066,2021-01-15T10:09:40Z,9,10,0.228,29.19,34.03612329
104.074,2021-01-15T10:28:10Z,28,10,0.229,29.15,33.84636459
104.08,2021-01-15T11:16:20Z,16,11,0.23,29.05,33.77916419
104.094,2021-01-15T10:38:20Z,38,10,0.231,29.32,32.91673867
104.097,2021-01-15T10:41:10Z,41,10,0.231,29.28,33.70226166
104.097,2021-01-15T10:44:40Z,44,10,0.231,29.37,33.69150514
104.097,2021-01-15T11:00:40Z,0,11,0.231,29.39,33.50150351
104.097,2021-01-15T11:01:40Z,1,11,0.231,29.39,33.46906981
104.1,2021-01-15T10:57:40Z,57,10,0.232,29.38,33.57669627
104.1,2021-01-15T10:58:30Z,58,10,0.232,29.41,33.51675511
104.109,2021-01-15T10:32:10Z,32,10,0.232,29.41,33.62740104
104.111,2021-01-15T10:37:30Z,37,10,0.233,29.3,32.88323886
